,ResponseId,overall_score,normal_score,expert_score,n_graded,n_ungraded,n_total,mean_score_per_item
59,R_3cl2IMba6u7Q2Nr,41.0,36.99999999999999,45.0,11,2,13,3.1538461538461537
60,R_6NWzqbX4O0AMjJv,42.56666666666667,39.13333333333333,46.0,11,1,12,3.5472222222222225
61,R_7PodChoqtIWfEkN,30.240476190476187,26.48095238095238,34.0,9,1,10,3.024047619047619
62,R_5DAIrNhtzGGUJgt,28.25,24.5,32.0,11,0,11,2.5681818181818183
63,R_1IbBFfixZh63O47,26.52857142857143,27.057142857142857,26.0,13,0,13,2.0406593406593405
64,R_3gw89p3wacWQFRn,40.32142857142858,34.642857142857146,46.0,13,0,13,3.101648351648352
65,R_57Jf15YvbX6JX9g,45.93333333333333,41.866666666666674,50.0,11,2,13,3.533333333333333
66,R_6ieepBYwPOcVPZO,38.08809523809524,34.17619047619048,42.0,10,0,10,3.8088095238095243
67,R_6HnmuPESQ911bSs,15.916666666666666,16.833333333333336,15.0,4,9,13,1.2243589743589742
68,R_7HiuT8KLZwyWhV9,20.333333333333332,19.666666666666668,21.0,13,0,13,1.564102564102564
69,R_1LjuLUT4Y6CYGNe,40.226190476190474,38.452380952380956,42.0,11,0,11,3.6569264069264067
70,R_30x9wSvmkEmbVoB,29.238095238095234,26.476190476190478,32.0,12,0,12,2.4365079365079363
71,R_5XBVD7OnUiSPYzv,34.916666666666664,31.833333333333332,38.0,9,1,10,3.4916666666666663
72,R_6PA4QEiXZDENKp1,39.44523809523809,37.89047619047619,41.0,10,2,12,3.2871031746031742
73,R_5fjcrirfMR1Dwul,25.599999999999998,23.2,28.0,11,0,11,2.327272727272727
74,R_7IcV6n5DqSpqtcR,24.333333333333332,25.666666666666668,23.0,12,2,14,1.738095238095238
75,R_6XoaIFqgUFLI7kJ,44.04761904761905,39.09523809523809,49.0,11,2,13,3.3882783882783887
76,R_7JKsUnPA3jzjDRI,17.404761904761905,16.80952380952381,18.0,7,3,10,1.7404761904761905
77,R_1NxJpYzFJggITGm,30.14285714285714,26.285714285714285,34.0,13,0,13,2.3186813186813184
78,R_67jsyOVtJ4io3hM,33.76666666666666,30.53333333333334,37.0,12,0,12,2.813888888888888
79,R_3rUW4R8o2RDWKZB,39.035714285714285,39.07142857142857,39.0,12,1,13,3.0027472527472527
80,R_1QDFcDrzwXtPhSw,39.523809523809526,34.047619047619044,45.0,11,0,11,3.5930735930735933
81,R_5dWeWShB7qgdljb,28.066666666666663,24.133333333333333,32.0,11,2,13,2.158974358974359
82,R_18IHc8q1xLCnQHe,39.166666666666664,34.333333333333336,44.0,8,6,14,2.7976190476190474
83,R_6kgGwRyVnn2pfaN,33.88095238095239,33.76190476190476,34.0,12,0,12,2.823412698412699
84,R_1HvLzzAFpuugjE9,25.083333333333332,24.166666666666664,26.0,8,4,12,2.0902777777777777
85,R_3hGCmhPK0roMNK6,21.85,19.7,24.0,11,1,12,1.8208333333333335
86,R_3wo5ExxrXHBVtdF,31.016666666666662,28.033333333333335,34.0,12,0,12,2.5847222222222217
