,ResponseId,overall_score,normal_score,expert_score,n_graded,n_ungraded,n_total,mean_score_per_item
70,R_1LjuLUT4Y6CYGNe,62.0,56.985714285714295,62.0,15,0,15,4.133333333333334
71,R_5XBVD7OnUiSPYzv,66.0,57.0,66.0,15,0,15,4.4
72,R_6PA4QEiXZDENKp1,53.0,50.390476190476186,53.0,13,2,15,3.533333333333333
73,R_5fjcrirfMR1Dwul,37.0,,37.0,15,0,15,2.466666666666667
74,R_7IcV6n5DqSpqtcR,24.0,26.833333333333336,24.0,13,2,15,1.6
75,R_6XoaIFqgUFLI7kJ,52.0,,52.0,13,2,15,3.466666666666667
76,R_7JKsUnPA3jzjDRI,36.0,30.476190476190474,36.0,12,3,15,2.4
77,R_1NxJpYzFJggITGm,41.0,32.23809523809524,41.0,15,0,15,2.7333333333333334
78,R_3rUW4R8o2RDWKZB,46.0,46.07142857142857,46.0,15,0,15,3.066666666666667
79,R_1QDFcDrzwXtPhSw,63.0,51.547619047619044,63.0,15,0,15,4.2
80,R_5dWeWShB7qgdljb,34.0,,34.0,15,0,15,2.2666666666666666
81,R_18IHc8q1xLCnQHe,45.0,35.333333333333336,45.0,8,7,15,3.0
82,R_6kgGwRyVnn2pfaN,44.0,42.42857142857143,44.0,15,0,15,2.933333333333333
83,R_1HvLzzAFpuugjE9,36.0,31.833333333333332,36.0,10,5,15,2.4
84,R_67jsyOVtJ4io3hM,45.0,38.67619047619048,45.0,15,0,15,3.0
85,R_3hGCmhPK0roMNK6,31.0,,31.0,15,0,15,2.066666666666667
86,R_3wo5ExxrXHBVtdF,41.0,34.36666666666667,41.0,15,0,15,2.7333333333333334
87,R_3pECSJ1nV3ebG8v,40.0,33.0,40.0,15,0,15,2.6666666666666665
88,R_3LYjBidWcX7T3mo,20.0,20.1,20.0,13,0,13,1.5384615384615385
89,R_3kvWEB9djiIi0IW,51.0,,51.0,15,0,15,3.4
90,R_1FenkheohNSgeLu,35.0,29.647619047619045,35.0,15,0,15,2.3333333333333335
91,R_1PcY1LS2Mfhz64A,38.0,33.266666666666666,38.0,14,1,15,2.533333333333333
92,R_32V2gkHfxz9ROBB,43.0,36.476190476190474,43.0,15,0,15,2.8666666666666667
93,R_6HAHLrUWhq9nby4,46.0,,46.0,15,0,15,3.066666666666667
94,R_7Kuxq2JKf3BOKPH,43.0,,43.0,15,0,15,2.8666666666666667
95,R_6RqfSAN0DF8nnsa,51.0,44.57619047619048,51.0,15,0,15,3.4
96,R_1paSSMOwVWpJyn2,59.0,46.28571428571429,59.0,15,0,15,3.933333333333333
97,R_7NhDTJ2fxewY5qh,40.0,34.36666666666666,40.0,15,0,15,2.6666666666666665
98,R_5RvyCf53JoQh7Eg,46.0,,46.0,13,2,15,3.066666666666667
99,R_6YaCnTxmrtmyBmt,47.0,39.53333333333333,47.0,15,0,15,3.1333333333333333
